"Date","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (GBP)"
"31/07/2024","Order Payment","203-3667650-7037104","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-13.02","5.67","20.97"
"31/07/2024","Order Payment","026-9268307-2148351","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-13.02","5.67","20.97"
"31/07/2024","Order Payment","204-0474204-0253921","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-8.49","5","21.5"
"31/07/2024","Order Payment","204-2328485-3967563","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"31/07/2024","Order Payment","204-2912080-2675549","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"31/07/2024","Order Payment","206-8142341-6199500","BUCKHEAD Unisex Casual Sneakers for Wome...","24.99","0","-8.49","5","21.5"
"31/07/2024","Order Payment","026-4273043-3481921","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-14.4","9.99","20.58"
"31/07/2024","Service Fees","203-8356957-1757144","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"31/07/2024","Unavailable balance","---","Current Reserve Amount ","0","0","0","-1248.53","-1248.53"
"31/07/2024","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","1248.53","1248.53"
"31/07/2024","Order Payment","202-2664899-4736308","BUCKHEAD Unisex Casual Sneakers for Wome...","24.99","0","-8.49","5","21.5"
"31/07/2024","Refund","205-5262991-5682747","BUCKHEAD Boston Casual Men Sneakers (Whi...","-24.99","1.25","3.67","-6.25","-26.32"
"31/07/2024","Service Fees","205-5262991-5682747","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"31/07/2024","Service Fees","204-2352432-6221902","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-1.79","0","-1.79"
"30/07/2024","Order Payment","204-0247374-0843562","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-8.78","5.67","25.21"
"30/07/2024","Service Fees","202-0622571-5061115","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-1.79","0","-1.79"
"30/07/2024","Order Payment","205-2721477-9753918","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"30/07/2024","Order Payment","206-8343352-6129942","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"30/07/2024","Order Payment","203-5521046-5536368","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-8.49","5","21.5"
"30/07/2024","Refund","026-8068972-7053140","BUCKHEAD Boston Casual Men Sneakers (Bla...","-28.32","0.83","4.16","-6.5","-29.83"
"30/07/2024","Other","203-0610882-1436362","FBA Inventory Reimbursement","0","0","0","17.47","17.47"
"30/07/2024","Order Payment","204-0551385-7390700","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-0.47","-10.85","6.14","23.14"
"30/07/2024","Order Payment","026-9713381-8817908","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","-1.25","-10.24","6.25","19.75"
"30/07/2024","Order Payment","203-7593018-1949900","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-10.24","0","14.75"
"30/07/2024","Order Payment","026-9588818-7458761","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.25","-10.85","6.92","23.14"
"30/07/2024","Service Fees","204-2539327-9802761","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"29/07/2024","Order Payment","026-1052928-3289900","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-0.55","-10.85","6.22","23.14"
"29/07/2024","Order Payment","205-0292289-0398748","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-9.1","5.67","24.89"
"29/07/2024","Order Payment","206-6597521-8203560","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-10.24","5","19.75"
"29/07/2024","Order Payment","203-0139662-7736349","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-9.1","5.67","24.89"
"29/07/2024","Order Payment","205-3690070-1187512","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-15.01","10.66","23.97"
"29/07/2024","Service Fees","206-5804880-6205924","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"29/07/2024","Order Payment","205-4321426-7012360","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-8.78","5.67","25.21"
"29/07/2024","Order Payment","026-2747143-5125911","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-8.78","5.67","25.21"
"29/07/2024","Service Fees","205-1952276-7374727","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-1.95","0","-1.95"
"29/07/2024","Order Payment","026-2449582-8142728","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-11.44","6.38","23.26"
"29/07/2024","Order Payment","202-2862083-6518759","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.87","-10.85","7.54","23.14"
"29/07/2024","Service Fees","205-3593765-9154708","FBA Customer Returns Fee (Apparel and Shoes)","0","0","-2.83","0","-2.83"
"28/07/2024","Order Payment","206-8106709-0183548","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-10.24","5","19.75"
"28/07/2024","Order Payment","203-0308122-1361179","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-10.24","5","19.75"
"28/07/2024","Order Payment","205-6237563-6561108","BUCKHEAD Unisex Casual Sneakers for Wome...","49.98","0","-16.98","10","43"
"28/07/2024","Order Payment","204-2590348-7532334","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-10.24","5","19.75"
"28/07/2024","Order Payment","203-8184237-9959542","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","-1.87","-10.24","6.87","19.75"
"28/07/2024","Order Payment","205-8098443-4687564","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"28/07/2024","Order Payment","204-0884540-8586753","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"28/07/2024","Order Payment","026-9115136-5498734","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"27/07/2024","Order Payment","203-7960399-6694730","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","0","-10.85","5.67","23.14"
"27/07/2024","Order Payment","203-0031702-4201107","BUCKHEAD Boston Casual Men Sneakers (Whi...","24.99","0","-10.24","5","19.75"
"27/07/2024","Order Payment","026-4864590-5236358","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-0.24","-8.78","5.91","25.21"
"27/07/2024","Order Payment","026-8218940-0505134","BUCKHEAD Boston Casual Men Sneakers (Bla...","56.64","0","-21.7","11.34","46.28"
"27/07/2024","Order Payment","202-2192790-0926729","BUCKHEAD Boston Casual Men Sneakers (Bla...","28.32","-1.87","-9.1","7.54","24.89"
